text,emotion
"I am so happy today!",happy
"I feel really sad and depressed",sad
"This makes me so angry",angry
"I'm scared and worried",fear
"I'm completely surprised",surprise
"I feel neutral about this",neutral
"Today was amazing! I got the job",happy
"The funeral was so emotional",sad
"I'm furious that someone stole my wallet",angry
"I have a terrible fear of heights",fear
"I was shocked by the unexpected news",surprise
"I don't have strong feelings about this",neutral
"I love spending time with my family",happy
"I miss my grandmother who passed away",sad
"The traffic jam is making me late",angry
"I'm nervous about the presentation",fear
"I won the lottery! I can't believe it",surprise
"It's just another regular day",neutral
"Sunsets make me feel peaceful and happy",happy
"Breaking up with my partner hurts",sad
"The customer service was terrible",angry
"I'm afraid of being alone",fear
"The surprise party was amazing",surprise
"I'm indifferent to the movie",neutral
"I'm ecstatic about my promotion!",happy
"My heart aches from the loss",sad
"I can't stand this injustice",angry
"I'm terrified of public speaking",fear
"The plot twist blew my mind",surprise
"I have no opinion on this matter",neutral
"Watching the sunrise fills me with joy",happy
"The rejection letter made me cry",sad
"The incompetence is infuriating",angry
"I'm anxious about the exam results",fear
"I never saw that coming!",surprise
"It doesn't matter to me either way",neutral
"I'm overjoyed to see my friends again",happy
"The empty house feels lonely",sad
"The delays are unacceptable",angry
"I'm worried about my health",fear
"The gift was completely unexpected",surprise
"I'm neither here nor there about it",neutral
"Laughter is the best medicine",happy
"The rainy weather matches my mood",sad
"The lies make my blood boil",angry
"I have a bad feeling about this",fear
"I couldn't believe my eyes",surprise
"Whatever happens, happens",neutral
"I'm blessed with wonderful friends",happy
"The silence is deafening",sad
"The disrespect is outrageous",angry
"I'm scared of the dark",fear
"I was stunned by the announcement",surprise
"I don't really care either way",neutral
"Life is beautiful and amazing",happy
"I feel empty inside",sad
"This situation is unbearable",angry
"I'm frightened by the unknown",fear
"I was taken aback by the news",surprise
"It's all the same to me",neutral
"I'm thrilled about the upcoming trip",happy
"The memories bring tears to my eyes",sad
"The unfairness is disgusting",angry
"I'm afraid of failure",fear
"The revelation was mind-blowing",surprise
"I'm apathetic about the outcome",neutral
"Every moment is precious",happy
"The loneliness is overwhelming",sad
"The negligence is appalling",angry
"I'm scared of losing control",fear
"I was dumbfounded by the response",surprise
"I'm unimpressed by the performance",neutral
"I'm grateful for another day",happy
"The separation hurts deeply",sad
"The attitude is disgraceful",angry
"I'm fearful of the consequences",fear
"I was astonished by the transformation",surprise
"I'm unmoved by the argument",neutral
"I'm delighted with the results",happy
"The sorrow is heavy on my heart",sad
"The behavior is disgraceful",angry
"I'm anxious about the future",fear
"The discovery was remarkable",surprise
"I'm indifferent to the changes",neutral
"I'm blessed beyond measure",happy
"The pain is unbearable",sad
"The situation is infuriating",angry
"I'm terrified of what might happen",fear
"I was flabbergasted by the news",surprise
"I don't have strong feelings",neutral
"I'm happy just to be alive",happy
"The grief is overwhelming",sad
"The incompetence is maddening",angry
"I'm scared of being judged",fear
"The outcome was unpredictable",surprise
"I'm neutral about the decision",neutral
"I'm filled with happiness",happy
"The sadness is consuming",sad
"The injustice is unacceptable",angry
"I'm worried sick",fear
"I was shocked speechless",surprise
"It doesn't bother me",neutral
"I'm living my best life",happy
"The emptiness is painful",sad
"The treatment is outrageous",angry
"I'm frightened by the possibilities",fear
"I couldn't believe what happened",surprise
"I'm neither happy nor sad",neutral
"I'm smiling from ear to ear",happy
"The heartbreak is real",sad
"The situation makes me furious",angry
"I'm scared of the unknown",fear
"The surprise was incredible",surprise
"I'm balanced and calm",neutral
"My friend died and I'm heartbroken",sad
"My best friend passed away",sad
"I lost someone dear to me",sad
"Grief is overwhelming",sad
"The death hurts so much",sad
"I'm mourning the loss",sad
"My companion is gone forever",sad
"The pain of loss is unbearable",sad
"I feel empty since they died",sad
"My heart aches from the death",sad
"The funeral broke my heart",sad
"Losing my friend is devastating",sad
"I'm grieving the death",sad
"The sorrow of death is heavy",sad
"My loved one is dead",sad
"The loss is painful",sad
"I miss them so much since death",sad
"Death has taken my friend",sad
"I'm in mourning for the deceased",sad
"I'm on cloud nine",happy
"The depression is heavy",sad
"The anger is building up",angry
"I'm anxious and worried",fear
"I was stunned into silence",surprise
"I'm at peace with it",neutral
"I'm jumping for joy",happy
"The tears won't stop flowing",sad
"The rage is overwhelming",angry
"I'm afraid of what's coming",fear
"I was blown away by the performance",surprise
"I'm composed and steady",neutral
