text,emotion
"I am so happy today!",happy
"I feel really sad and depressed",sad
"This makes me so angry",angry
"I'm scared and worried",fear
"I'm completely surprised",surprise
"I feel neutral about this",neutral
"I feel disgusted by this",disgust
"I'm so jealous of them",jealousy
"I feel proud of my achievement",pride
"I'm ashamed of what I did",shame
"I feel guilty about my actions",guilt
"I'm so excited for the trip",excitement
"I feel content and peaceful",contentment
"I'm disappointed with the results",disappointment
"I feel hopeful about the future",hope
"I'm grateful for everything",gratitude
"I feel confused about this",confusion
"I'm bored with this routine",boredom
"I feel relieved it's over",relief
"I'm curious to learn more",curiosity
"I feel nostalgic thinking about childhood",nostalgia
"I'm embarrassed about what happened",embarrassment
"I feel confident I can do this",confidence
"I'm anxious about the exam",anxiety
"I feel thrilled by this experience",thrill
"I'm hurt by your words",hurt
"I feel lonely without friends",loneliness
"I'm exhausted from work",exhaustion
"I feel refreshed after the nap",refreshment
"I'm frustrated with this situation",frustration
"I feel calm and relaxed",calm
"I'm terrified of heights",terror
"I feel delighted by the news",delight
"I'm annoyed by the noise",annoyance
"I feel amazed by this view",amazement
"I'm devastated by the loss",devastation
"I feel euphoric about the success",euphoria
"I'm horrified by what I saw",horror
"I feel blissful in this moment",bliss
"I'm irritated by the delay",irritation
"I feel overjoyed by the gift",overjoyed
"I'm appalled by the behavior",appalled
"I feel serene in the garden",serene
"I'm bewildered by the complexity",bewildered
"I feel ecstatic about the win",ecstatic
"I'm repulsed by the smell",repulsed
"I feel tranquil by the ocean",tranquil
"I'm agitated by the argument",agitated
"I feel jubilant about the promotion",jubilant
"I'm mortified by my mistake",mortified
"I feel peaceful in nature",peaceful
"I'm outraged by the injustice",outraged
"I feel blissful with my partner",blissful
"I'm vexed by the problem",vexed
"I feel elated by the compliment",elated
"I'm disgusted by the food",disgusted
"I feel melancholic today",melancholy
"I'm envious of their success",envy
"I feel optimistic about tomorrow",optimistic
"I'm pessimistic about the outcome",pessimistic
"I feel zealous about the project",zealous
"I'm apathetic about the news",apathetic
"I feel sympathetic towards them",sympathetic
"I'm empathetic to their pain",empathetic
"I feel passionate about music",passionate
"I'm indifferent to the result",indifferent
"I feel resentful about the past",resentful
"I'm nostalgic for the good old days",nostalgic
"I feel wistful thinking of you",wistful
"I'm apprehensive about the future",apprehensive
"I feel contemplative in silence",contemplative
"I'm jubilant we won the game",jubilant
"I feel serene after meditation",serene
"I'm thrilled by the adventure",thrilled
"I feel blissful in love",blissful
"I'm horrified by the accident",horrified
"I feel ecstatic at the concert",ecstatic
"I'm amazed by the magic show",amazed
