text,emotion
"I am so happy today!",happy
"I feel really sad and depressed",sad
"This makes me so angry",angry
"I'm scared and worried",fear
"I'm completely surprised",surprise
"I feel neutral about this",neutral
"Today was amazing! I got the job",happy
"The funeral was so emotional",sad
"I'm furious that someone stole my wallet",angry
"I have a terrible fear of heights",fear
"I was shocked by the unexpected news",surprise
"I don't have strong feelings about this",neutral
"I love spending time with my family",happy
"I miss my grandmother who passed away",sad
"The traffic jam is making me late",angry
"I'm nervous about the presentation",fear
"I won the lottery! I can't believe it",surprise
"It's just another regular day",neutral
"Sunsets make me feel peaceful and happy",happy
"Breaking up with my partner hurts",sad
"The customer service was terrible",angry
"I'm afraid of being alone",fear
"The surprise party was amazing",surprise
"I'm indifferent to the movie",neutral
